Distance,Roi,Data_length,Mean_ICC
euclidean,400,5min,0.48582340957820785
partial_correlation,400,5min,0.3840540118915743
tangent,400,5min,0.35575946880149967
covariance,400,10min,0.5585287122754881
correlation,400,10min,0.5584728586775536
cosine,400,10min,0.5584595645835395
sqeuclidean,400,10min,0.5585481942847064
minkowski,400,10min,0.5647603914567291
euclidean,400,10min,0.5647603664288142
partial_correlation,400,10min,0.4312370896111737
tangent,400,10min,0.3879708727665944
covariance,400,15min,0.5969588649855836
correlation,400,15min,0.6490412355452555
cosine,400,15min,0.6489632960352949
sqeuclidean,400,15min,0.6567232400192058
minkowski,400,15min,0.663835722915151
euclidean,400,15min,0.663810798674608
partial_correlation,400,15min,0.45700754362513946
tangent,400,15min,0.4152179376990728
covariance,400,20min,0.6935611417355122
correlation,400,20min,0.6935511973613125
cosine,400,20min,0.6935511944251285
sqeuclidean,400,20min,0.6932155447655978
minkowski,400,20min,0.6985079286504166
euclidean,400,20min,0.6984664003779928
partial_correlation,400,20min,0.46186918589086035
tangent,400,20min,0.4329384245802946
covariance,400,25min,0.718863353326454
correlation,400,25min,0.7477989845248801
cosine,400,25min,0.7476919259375966
sqeuclidean,400,25min,0.7455042535895419
minkowski,400,25min,0.7500785319022881
euclidean,400,25min,0.7500787211669027
partial_correlation,400,25min,0.4757124415435998
tangent,400,25min,0.450690398527492
covariance,400,30min,0.7722425578829744
correlation,400,30min,0.7722568070408706
cosine,400,30min,0.7722567975597502
sqeuclidean,400,30min,0.7724347546399811
minkowski,400,30min,0.7760717521692905
euclidean,400,30min,0.7760176225214308
partial_correlation,400,30min,0.4825069465062214
tangent,400,30min,0.46345295534893705
covariance,400,35min,0.7869535841939892
correlation,400,35min,0.8026519731314987
cosine,400,35min,0.802645357389111
sqeuclidean,400,35min,0.8038710142639027
minkowski,400,35min,0.807289430516213
euclidean,400,35min,0.8072874418384244
partial_correlation,400,35min,0.4881696117970979
tangent,400,35min,0.47826861426013006
covariance,400,40min,0.8188977763330326
correlation,400,40min,0.8189231849516504
cosine,400,40min,0.818897937252758
sqeuclidean,400,40min,0.8191315315556331
minkowski,400,40min,0.8224860284492352
euclidean,400,40min,0.822486034529489
partial_correlation,400,40min,0.49593735289893204
tangent,400,40min,0.4918726771176745
covariance,400,45min,0.8304004370608754
correlation,400,45min,0.8405790791811288
cosine,400,45min,0.8405476861058299
sqeuclidean,400,45min,0.838779104589855
minkowski,400,45min,0.8419967780681006
euclidean,400,45min,0.8420014301973137
partial_correlation,400,45min,0.5088373995748838
tangent,400,45min,0.5039515162222872
covariance,400,50min,0.8521018613656178
correlation,400,50min,0.8521918970687413
cosine,400,50min,0.8522023812238612
sqeuclidean,400,50min,0.8522166979321928
minkowski,400,50min,0.8551891678654028
euclidean,400,50min,0.8551841476270391
partial_correlation,400,50min,0.5133119632575561
tangent,400,50min,0.5146500605450135
covariance,500,5min,0.3884943322515001
correlation,500,5min,0.4781535467820542
cosine,500,5min,0.4780730894351925
sqeuclidean,500,5min,0.47852423890737517
minkowski,500,5min,0.4894997281701738
euclidean,500,5min,0.4894887261501827
partial_correlation,500,5min,0.3854555854906541
tangent,500,5min,0.3376519600588258
covariance,500,10min,0.5627608353907384
correlation,500,10min,0.5628314551727416
cosine,500,10min,0.5628078396440261
sqeuclidean,500,10min,0.562528550240018
minkowski,500,10min,0.5688817398237582
euclidean,500,10min,0.5688635588812674
partial_correlation,500,10min,0.4241351518972345
tangent,500,10min,0.37111078470473996
covariance,500,15min,0.6055368235402709
correlation,500,15min,0.6553242164077081
cosine,500,15min,0.6554073968348765
sqeuclidean,500,15min,0.6610093896749841
minkowski,500,15min,0.6676944106399473
euclidean,500,15min,0.6677182800356832
partial_correlation,500,15min,0.45440662052796854
tangent,500,15min,0.3953322430201438
covariance,500,20min,0.6996359495080006
correlation,500,20min,0.699323128780721
cosine,500,20min,0.6992906742610643
sqeuclidean,500,20min,0.6993646177114394
minkowski,500,20min,0.7040816764801873
euclidean,500,20min,0.7041072959323857
partial_correlation,500,20min,0.45801556275573524
tangent,500,20min,0.40277563298471686
covariance,500,25min,0.7251841936178653
correlation,500,25min,0.7522053037523796
cosine,500,25min,0.7521391365668723
sqeuclidean,500,25min,0.7498875200797809
minkowski,500,25min,0.7540520085832971
euclidean,500,25min,0.7540865559903601
partial_correlation,500,25min,0.4677645371983368
tangent,500,25min,0.4209161623995023
covariance,500,30min,0.7767681800564697
correlation,500,30min,0.7766709838470803
cosine,500,30min,0.7766989927120699
sqeuclidean,500,30min,0.7771901627408416
minkowski,500,30min,0.7807391615450728
euclidean,500,30min,0.7806932330759371
partial_correlation,500,30min,0.46340278397660184
tangent,500,30min,0.427598978555357
covariance,500,35min,0.7912310088766851
correlation,500,35min,0.8060818150321014
cosine,500,35min,0.8061129407227736
sqeuclidean,500,35min,0.8064999308189202
minkowski,500,35min,0.8096856040383515
euclidean,500,35min,0.8097061582375201
partial_correlation,500,35min,0.46050585495288365
tangent,500,35min,0.4386637971104351
covariance,500,40min,0.8214038140866449
correlation,500,40min,0.8215524705325228
cosine,500,40min,0.8215574507630142
sqeuclidean,500,40min,0.8216701805406663
minkowski,500,40min,0.8247812132153596
euclidean,500,40min,0.8247812141640172
partial_correlation,500,40min,0.46381116832910185
tangent,500,40min,0.4470416486706761
covariance,500,45min,0.8340605728394068
correlation,500,45min,0.8434644841887934
cosine,500,45min,0.8434732620873787
sqeuclidean,500,45min,0.8416120612748039
minkowski,500,45min,0.8443007309612571
euclidean,500,45min,0.8443007181364077
partial_correlation,500,45min,0.4676378687953762
tangent,500,45min,0.4603682073271856
covariance,500,50min,0.8547190937796284
correlation,500,50min,0.8547768626181464
cosine,500,50min,0.8547768630211517
sqeuclidean,500,50min,0.8548984998461926
minkowski,500,50min,0.8575719064117531
euclidean,500,50min,0.8575853147053262
partial_correlation,500,50min,0.46937262731203583
tangent,500,50min,0.4667548033928459
covariance,600,5min,0.39226086319768444
correlation,600,5min,0.4837923286319193
cosine,600,5min,0.48379003153735023
sqeuclidean,600,5min,0.4825690252385951
minkowski,600,5min,0.4934627600492001
euclidean,600,5min,0.49344167815875906
partial_correlation,600,5min,0.38598957423208186
tangent,600,5min,0.3403959760557468
covariance,600,10min,0.5683802628597402
correlation,600,10min,0.5681194288020366
cosine,600,10min,0.5681089851838775
sqeuclidean,600,10min,0.5683311650196374
minkowski,600,10min,0.5744540358421233
euclidean,600,10min,0.5744540365816481
partial_correlation,600,10min,0.42697872522512
tangent,600,10min,0.3610667801555006
covariance,600,15min,0.6105012886537434
correlation,600,15min,0.6602382538026806
cosine,600,15min,0.6601606701614378
sqeuclidean,600,15min,0.6665048869027985
minkowski,600,15min,0.6730750963442755
euclidean,600,15min,0.673064924194358
partial_correlation,600,15min,0.4609008808452415
tangent,600,15min,0.37924735997815334
covariance,600,20min,0.7049944912880534
correlation,600,20min,0.7045084868838507
cosine,600,20min,0.7045084784798002
sqeuclidean,600,20min,0.7046086967883582
minkowski,600,20min,0.7093954799087773
euclidean,600,20min,0.7094222184477302
partial_correlation,600,20min,0.4626382379092224
tangent,600,20min,0.3839954138376629
covariance,600,25min,0.7304004775039065
correlation,600,25min,0.7576140330295273
cosine,600,25min,0.7575125075672314
sqeuclidean,600,25min,0.7549395027902543
minkowski,600,25min,0.7594630214338015
euclidean,600,25min,0.7594849333359952
partial_correlation,600,25min,0.4656129206958228
tangent,600,25min,0.393948394955779
covariance,600,30min,0.7818222519591131
correlation,600,30min,0.7819023215481691
cosine,600,30min,0.781905694780124
sqeuclidean,600,30min,0.782214690292796
minkowski,600,30min,0.7857332761230535
euclidean,600,30min,0.7857288890881607
partial_correlation,600,30min,0.4649314606458757
tangent,600,30min,0.40297717802644756
covariance,600,35min,0.7964235142538648
correlation,600,35min,0.81081020463941
cosine,600,35min,0.8108253986564679
sqeuclidean,600,35min,0.8108550028564192
minkowski,600,35min,0.8140943756114402
euclidean,600,35min,0.8140903006373251
partial_correlation,600,35min,0.45583467474485573
tangent,600,35min,0.4098166536805918
covariance,600,40min,0.8257643888133486
correlation,600,40min,0.8258354984551457
cosine,600,40min,0.8258354954150264
sqeuclidean,600,40min,0.8260837125451741
minkowski,600,40min,0.8291695620845163
euclidean,600,40min,0.8291556500251109
partial_correlation,600,40min,0.45471963764174167
tangent,600,40min,0.41862437472902436
covariance,600,45min,0.8371875113800524
correlation,600,45min,0.8467825945149796
cosine,600,45min,0.8468256217038305
sqeuclidean,600,45min,0.844961454992331
minkowski,600,45min,0.8480092626161144
euclidean,600,45min,0.8480225955594164
partial_correlation,600,45min,0.45246971413295095
tangent,600,45min,0.4245977607335455
covariance,600,50min,0.8577551707584631
correlation,600,50min,0.8578279008932652
cosine,600,50min,0.8578322129615545
sqeuclidean,600,50min,0.8579069867264403
minkowski,600,50min,0.8606947161765733
euclidean,600,50min,0.8606935370503673
partial_correlation,600,50min,0.4505140324596587
tangent,600,50min,0.43354702167215503
covariance,700,5min,0.3970067182083007
correlation,700,5min,0.4872027631321564
cosine,700,5min,0.4872313937936588
sqeuclidean,700,5min,0.4851453060555853
minkowski,700,5min,0.4959763906795433
euclidean,700,5min,0.4960041721984199
partial_correlation,700,5min,0.3919437034070612
tangent,700,5min,0.33237026925938046
covariance,700,10min,0.5717028192024457
correlation,700,10min,0.571169644964743
cosine,700,10min,0.5711575797614953
sqeuclidean,700,10min,0.5713610648786024
minkowski,700,10min,0.5775935937212818
euclidean,700,10min,0.5776303208828358
partial_correlation,700,10min,0.43563300344076594
tangent,700,10min,0.34913782583003045
covariance,700,15min,0.6148051923193414
correlation,700,15min,0.6629143507615372
cosine,700,15min,0.6630124676584364
sqeuclidean,700,15min,0.6682005621401408
minkowski,700,15min,0.6753106153510035
euclidean,700,15min,0.6753122150450014
partial_correlation,700,15min,0.46443296545287055
tangent,700,15min,0.3623989114953726
covariance,700,20min,0.7056511628587251
correlation,700,20min,0.7055026042104717
cosine,700,20min,0.7054587356876865
