Distance,Roi,Data_length,Mean_ICC
cosine,500,50min,0.7601659215929405
sqeuclidean,500,50min,0.761826268685297
minkowski,500,50min,0.7614264760095976
euclidean,500,50min,0.7614236132299798
partial_correlation,500,50min,0.2259278119168954
tangent,500,50min,0.39820473224886616
covariance,600,5min,0.34728729087127647
correlation,600,5min,0.3604911335821796
cosine,600,5min,0.3610988952615994
sqeuclidean,600,5min,0.32390392668494666
minkowski,600,5min,0.3293898177172581
euclidean,600,5min,0.32938283651262656
partial_correlation,600,5min,0.2310893512497808
tangent,600,5min,0.2956969505281067
covariance,600,10min,0.437181156848148
correlation,600,10min,0.43737591002681203
cosine,600,10min,0.4373814988880552
sqeuclidean,600,10min,0.4375920647391889
minkowski,600,10min,0.4385442535423081
euclidean,600,10min,0.4385342709850937
partial_correlation,600,10min,0.22925198824009477
tangent,600,10min,0.31645538670265616
covariance,600,15min,0.518810412425144
correlation,600,15min,0.5261970586551014
cosine,600,15min,0.5253667364096339
sqeuclidean,600,15min,0.5074964257614666
minkowski,600,15min,0.5100869537744732
euclidean,600,15min,0.5100922481806659
partial_correlation,600,15min,0.230072377656478
tangent,600,15min,0.3355086234455694
covariance,600,20min,0.5771994928130808
correlation,600,20min,0.5780967479987892
cosine,600,20min,0.5770381953277104
sqeuclidean,600,20min,0.5785837852153529
minkowski,600,20min,0.5787418469435958
euclidean,600,20min,0.5787504098027593
partial_correlation,600,20min,0.22641258305331266
tangent,600,20min,0.343378733441093
covariance,600,25min,0.634098189355154
correlation,600,25min,0.6380227358503147
cosine,600,25min,0.6370571668254436
sqeuclidean,600,25min,0.6241096438796363
minkowski,600,25min,0.625172260651479
euclidean,600,25min,0.6251669825121938
partial_correlation,600,25min,0.22392752220399326
tangent,600,25min,0.352234150596308
covariance,600,30min,0.6673149207851217
correlation,600,30min,0.668292007229226
cosine,600,30min,0.6671665539641242
sqeuclidean,600,30min,0.6687749104567255
minkowski,600,30min,0.6681044483294549
euclidean,600,30min,0.6681101811936512
partial_correlation,600,30min,0.22236582790519202
tangent,600,30min,0.35832913470571726
covariance,600,35min,0.7001612542704316
correlation,600,35min,0.7033683042053297
cosine,600,35min,0.7018500593105018
sqeuclidean,600,35min,0.6968330013425289
minkowski,600,35min,0.696563292571055
euclidean,600,35min,0.6965661130980106
partial_correlation,600,35min,0.2208320637257135
tangent,600,35min,0.3649146473032502
covariance,600,40min,0.7211632158288497
correlation,600,40min,0.7224759602321892
cosine,600,40min,0.7210466546145485
sqeuclidean,600,40min,0.7229154429352841
minkowski,600,40min,0.7223179061787461
euclidean,600,40min,0.7223199115258873
partial_correlation,600,40min,0.21979682416198712
tangent,600,40min,0.3705259980812295
covariance,600,45min,0.7468423060062475
correlation,600,45min,0.7491534737812794
cosine,600,45min,0.7477644847609687
sqeuclidean,600,45min,0.7417583729355871
minkowski,600,45min,0.7419343119198344
euclidean,600,45min,0.7419275573975429
partial_correlation,600,45min,0.2196265831542663
tangent,600,45min,0.3768253754773075
covariance,600,50min,0.7625167901474728
correlation,600,50min,0.7636498711204329
cosine,600,50min,0.7622976574616112
sqeuclidean,600,50min,0.7640462012741513
minkowski,600,50min,0.7637621248054803
euclidean,600,50min,0.7637597143915362
partial_correlation,600,50min,0.22013763870988143
tangent,600,50min,0.3815250775880999
covariance,700,5min,0.3468141463020126
correlation,700,5min,0.3608033121087749
cosine,700,5min,0.36045966794232126
sqeuclidean,700,5min,0.32256398666047603
minkowski,700,5min,0.32808610249212733
euclidean,700,5min,0.32808361004862874
partial_correlation,700,5min,0.23271931221802541
tangent,700,5min,0.2906660223347321
covariance,700,10min,0.43452733046580744
correlation,700,10min,0.43561251925712097
cosine,700,10min,0.43463597658884
sqeuclidean,700,10min,0.4360248760727886
minkowski,700,10min,0.4367283998056277
euclidean,700,10min,0.43672827557959093
partial_correlation,700,10min,0.23082466894052622
tangent,700,10min,0.3115851562959665
covariance,700,15min,0.516373150074877
correlation,700,15min,0.524634843984613
cosine,700,15min,0.5229163317224749
sqeuclidean,700,15min,0.5058819596540237
minkowski,700,15min,0.508555060809106
euclidean,700,15min,0.5085552967721482
partial_correlation,700,15min,0.23005964690259417
tangent,700,15min,0.32998311982090284
covariance,700,20min,0.5735190083597352
correlation,700,20min,0.5757204597125105
cosine,700,20min,0.5734366669782198
sqeuclidean,700,20min,0.5765004677984404
minkowski,700,20min,0.576583079353581
euclidean,700,20min,0.5765784237078616
partial_correlation,700,20min,0.22631094455605458
tangent,700,20min,0.33623831203894383
covariance,700,25min,0.630295886436539
correlation,700,25min,0.6357594302404433
cosine,700,25min,0.6332099322225129
sqeuclidean,700,25min,0.6223212013699877
minkowski,700,25min,0.6233700223009218
euclidean,700,25min,0.6233738812892357
partial_correlation,700,25min,0.22405417774330708
tangent,700,25min,0.3450388316506043
covariance,700,30min,0.663727932692629
correlation,700,30min,0.6660759637825302
cosine,700,30min,0.663537193651005
sqeuclidean,700,30min,0.6668820386369984
minkowski,700,30min,0.6662563900862468
euclidean,700,30min,0.6662532824197583
partial_correlation,700,30min,0.22146881484525463
tangent,700,30min,0.349379597400284
covariance,700,35min,0.6971823154932686
correlation,700,35min,0.7016221783432067
cosine,700,35min,0.6987865809924028
sqeuclidean,700,35min,0.6950350724165744
minkowski,700,35min,0.6948646952026926
euclidean,700,35min,0.6948692950376226
partial_correlation,700,35min,0.21827867525166236
tangent,700,35min,0.3528979338479606
covariance,700,40min,0.718380366297526
correlation,700,40min,0.7209084736269893
cosine,700,40min,0.7182353183734281
sqeuclidean,700,40min,0.7216292006799824
minkowski,700,40min,0.7211191412359504
euclidean,700,40min,0.7211196771600883
partial_correlation,700,40min,0.21697301706856081
tangent,700,40min,0.3579276080077314
covariance,700,45min,0.7443403939374347
correlation,700,45min,0.7477705351300418
cosine,700,45min,0.7451379742207751
sqeuclidean,700,45min,0.7399712246091329
minkowski,700,45min,0.7401323344208243
euclidean,700,45min,0.7401362264251621
partial_correlation,700,45min,0.2159312773053891
tangent,700,45min,0.3628514393608546
covariance,700,50min,0.760110256359979
