,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
79,correlation,15.0,1000,1.0,1.0
80,correlation,20.0,100,1.0,1.0
81,correlation,20.0,200,1.0,1.0
82,correlation,20.0,300,1.0,1.0
83,correlation,20.0,400,1.0,1.0
84,correlation,20.0,500,1.0,1.0
85,correlation,20.0,600,1.0,1.0
86,correlation,20.0,700,1.0,1.0
87,correlation,20.0,800,1.0,1.0
88,correlation,20.0,900,1.0,1.0
89,correlation,20.0,1000,1.0,1.0
90,correlation,25.0,100,1.0,1.0
91,correlation,25.0,200,1.0,1.0
92,correlation,25.0,300,1.0,1.0
93,correlation,25.0,400,1.0,1.0
94,correlation,25.0,500,1.0,1.0
95,correlation,25.0,600,1.0,1.0
96,correlation,25.0,700,1.0,1.0
97,correlation,25.0,800,1.0,1.0
98,correlation,25.0,900,1.0,1.0
99,correlation,25.0,1000,1.0,1.0
100,correlation,30.0,100,1.0,1.0
101,correlation,30.0,200,1.0,1.0
102,correlation,30.0,300,1.0,1.0
103,correlation,30.0,400,1.0,1.0
104,correlation,30.0,500,1.0,1.0
105,correlation,30.0,600,1.0,1.0
106,correlation,30.0,700,1.0,1.0
107,correlation,30.0,800,1.0,1.0
108,correlation,30.0,900,1.0,1.0
109,correlation,30.0,1000,1.0,1.0
110,correlation,35.0,100,1.0,1.0
111,correlation,35.0,200,1.0,1.0
112,correlation,35.0,300,1.0,1.0
113,correlation,35.0,400,1.0,1.0
114,correlation,35.0,500,1.0,1.0
115,correlation,35.0,600,1.0,1.0
116,correlation,35.0,700,1.0,1.0
117,correlation,35.0,800,1.0,1.0
118,correlation,35.0,900,1.0,1.0
119,correlation,35.0,1000,1.0,1.0
120,correlation,40.0,100,1.0,1.0
121,correlation,40.0,200,1.0,1.0
122,correlation,40.0,300,1.0,1.0
123,correlation,40.0,400,1.0,1.0
124,correlation,40.0,500,1.0,1.0
125,correlation,40.0,600,1.0,1.0
126,correlation,40.0,700,1.0,1.0
127,correlation,40.0,800,1.0,1.0
128,correlation,40.0,900,1.0,1.0
129,correlation,40.0,1000,1.0,1.0
130,correlation,45.0,100,1.0,1.0
131,correlation,45.0,200,1.0,1.0
132,correlation,45.0,300,1.0,1.0
133,correlation,45.0,400,1.0,1.0
134,correlation,45.0,500,1.0,1.0
135,correlation,45.0,600,1.0,1.0
136,correlation,45.0,700,1.0,1.0
137,correlation,45.0,800,1.0,1.0
138,correlation,45.0,900,1.0,1.0
139,correlation,45.0,1000,1.0,1.0
140,correlation,50.0,100,1.0,1.0
141,correlation,50.0,200,1.0,1.0
142,correlation,50.0,300,1.0,1.0
143,correlation,50.0,400,1.0,1.0
144,correlation,50.0,500,1.0,1.0
145,correlation,50.0,600,1.0,1.0
146,correlation,50.0,700,1.0,1.0
147,correlation,50.0,800,1.0,1.0
148,correlation,50.0,900,1.0,1.0
149,correlation,50.0,1000,1.0,1.0
150,partial_correlation,0.5,100,0.6517241379310346,0.2
151,partial_correlation,0.5,200,0.7701149425287357,0.23333333333333334
152,partial_correlation,0.5,300,0.7390804597701148,0.2
153,partial_correlation,0.5,400,0.7689655172413793,0.26666666666666666
154,partial_correlation,0.5,500,0.7632183908045977,0.3
155,partial_correlation,0.5,600,0.7505747126436781,0.23333333333333334
156,partial_correlation,0.5,700,0.7298850574712644,0.23333333333333334
157,partial_correlation,0.5,800,0.7735632183908046,0.23333333333333334
158,partial_correlation,0.5,900,0.7850574712643679,0.26666666666666666
159,partial_correlation,0.5,1000,0.796551724137931,0.23333333333333334
160,partial_correlation,1.0,100,0.7770114942528736,0.23333333333333334
161,partial_correlation,1.0,200,0.9241379310344827,0.6
162,partial_correlation,1.0,300,0.9620689655172414,0.6333333333333333
163,partial_correlation,1.0,400,0.9712643678160919,0.7
164,partial_correlation,1.0,500,0.9839080459770115,0.8333333333333334
165,partial_correlation,1.0,600,0.9873563218390805,0.7666666666666667
166,partial_correlation,1.0,700,0.9574712643678162,0.6666666666666666
167,partial_correlation,1.0,800,0.9712643678160919,0.6666666666666666
168,partial_correlation,1.0,900,0.979310344827586,0.6666666666666666
169,partial_correlation,1.0,1000,0.9770114942528736,0.6666666666666666
170,partial_correlation,2.5,100,0.9701149425287355,0.7
171,partial_correlation,2.5,200,1.0,1.0
172,partial_correlation,2.5,300,1.0,1.0
173,partial_correlation,2.5,400,1.0,1.0
174,partial_correlation,2.5,500,1.0,1.0
175,partial_correlation,2.5,600,1.0,1.0
176,partial_correlation,2.5,700,1.0,1.0
177,partial_correlation,2.5,800,1.0,1.0
178,partial_correlation,2.5,900,1.0,1.0
179,partial_correlation,2.5,1000,1.0,1.0
180,partial_correlation,3.5,100,0.996551724137931,0.9333333333333333
181,partial_correlation,3.5,200,1.0,1.0
182,partial_correlation,3.5,300,1.0,1.0
183,partial_correlation,3.5,400,1.0,1.0
184,partial_correlation,3.5,500,1.0,1.0
185,partial_correlation,3.5,600,1.0,1.0
186,partial_correlation,3.5,700,1.0,1.0
187,partial_correlation,3.5,800,1.0,1.0
188,partial_correlation,3.5,900,1.0,1.0
189,partial_correlation,3.5,1000,1.0,1.0
190,partial_correlation,4.5,100,0.9942528735632183,0.9333333333333333
191,partial_correlation,4.5,200,1.0,1.0
192,partial_correlation,4.5,300,1.0,1.0
193,partial_correlation,4.5,400,1.0,1.0
194,partial_correlation,4.5,500,1.0,1.0
195,partial_correlation,4.5,600,1.0,1.0
