Distance,Roi,Data_length (min),Mean_ICC
correlation,600ROI,10,0.55973099
partial_correlation_scaled,600ROI,10,0.438571805
tangent_scaled,600ROI,10,0.354091843
correlation,600ROI,15,0.651157996
partial_correlation_scaled,600ROI,15,0.472691242
tangent_scaled,600ROI,15,0.372373773
correlation,600ROI,20,0.697204625
partial_correlation_scaled,600ROI,20,0.471087172
tangent_scaled,600ROI,20,0.377578859
correlation,600ROI,25,0.750704463
partial_correlation_scaled,600ROI,25,0.471224084
tangent_scaled,600ROI,25,0.392231646
correlation,600ROI,30,0.773516168
partial_correlation_scaled,600ROI,30,0.466627838
tangent_scaled,600ROI,30,0.403289615
correlation,600ROI,35,0.802975691
partial_correlation_scaled,600ROI,35,0.455957868
tangent_scaled,600ROI,35,0.409250545
correlation,600ROI,40,0.818120866
partial_correlation_scaled,600ROI,40,0.453730363
tangent_scaled,600ROI,40,0.418939216
correlation,600ROI,45,0.838992955
partial_correlation_scaled,600ROI,45,0.452700027
tangent_scaled,600ROI,45,0.427283812
correlation,600ROI,50,0.850426931
partial_correlation_scaled,600ROI,50,0.449484499
tangent_scaled,600ROI,50,0.437864475
correlation,700ROI,0.5,0.184496442
partial_correlation,700ROI,0.5,0.170028893
tangent,700ROI,0.5,0.181656174
partial_correlation_scaled,700ROI,0.5,0.135731647
tangent_scaled,700ROI,0.5,0.175315843
correlation,700ROI,1,0.223162222
partial_correlation,700ROI,1,0.207311446
tangent,700ROI,1,0.213234814
partial_correlation_scaled,700ROI,1,0.172811869
tangent_scaled,700ROI,1,0.201622855
correlation,700ROI,2.5,0.317000391
partial_correlation,700ROI,2.5,0.296413449
tangent,700ROI,2.5,0.270313952
partial_correlation_scaled,700ROI,2.5,0.260377296
tangent_scaled,700ROI,2.5,0.248090029
correlation,700ROI,3.5,0.363541594
partial_correlation,700ROI,3.5,0.325989438
tangent,700ROI,3.5,0.292265988
partial_correlation_scaled,700ROI,3.5,0.301434886
tangent_scaled,700ROI,3.5,0.266424461
correlation,700ROI,4.5,0.402487311
partial_correlation,700ROI,4.5,0.34544301
tangent,700ROI,4.5,0.308001146
partial_correlation_scaled,700ROI,4.5,0.274900147
tangent_scaled,700ROI,4.5,0.241896256
correlation,700ROI,5,0.481794087
partial_correlation_scaled,700ROI,5,0.402516589
tangent_scaled,700ROI,5,0.322598045
correlation,700ROI,10,0.564334823
partial_correlation_scaled,700ROI,10,0.447572608
tangent_scaled,700ROI,10,0.342952503
correlation,700ROI,15,0.655995413
partial_correlation_scaled,700ROI,15,0.476647636
tangent_scaled,700ROI,15,0.357628589
correlation,700ROI,20,0.701140402
partial_correlation_scaled,700ROI,20,0.47422072
tangent_scaled,700ROI,20,0.359627408
correlation,700ROI,25,0.753832951
partial_correlation_scaled,700ROI,25,0.472362099
tangent_scaled,700ROI,25,0.376033123
correlation,700ROI,30,0.77601159
partial_correlation_scaled,700ROI,30,0.464727813
tangent_scaled,700ROI,30,0.380762104
correlation,700ROI,35,0.80567838
partial_correlation_scaled,700ROI,35,0.457443283
tangent_scaled,700ROI,35,0.3853297
correlation,700ROI,40,0.820566788
partial_correlation_scaled,700ROI,40,0.450462779
tangent_scaled,700ROI,40,0.395829801
correlation,700ROI,45,0.841781934
partial_correlation_scaled,700ROI,45,0.442544166
tangent_scaled,700ROI,45,0.40352169
correlation,700ROI,50,0.853067579
partial_correlation_scaled,700ROI,50,0.440922935
tangent_scaled,700ROI,50,0.408711779
correlation,800ROI,0.5,0.183939161
partial_correlation,800ROI,0.5,0.172693315
tangent,800ROI,0.5,0.181293466
partial_correlation_scaled,800ROI,0.5,0.141724876
tangent_scaled,800ROI,0.5,0.16495157
correlation,800ROI,1,0.226040102
partial_correlation,800ROI,1,0.212082338
tangent,800ROI,1,0.210867873
partial_correlation_scaled,800ROI,1,0.204822009
tangent_scaled,800ROI,1,0.174072773
correlation,800ROI,2.5,0.322977372
partial_correlation,800ROI,2.5,0.300790265
tangent,800ROI,2.5,0.268843615
partial_correlation_scaled,800ROI,2.5,0.244958427
tangent_scaled,800ROI,2.5,0.184873458
correlation,800ROI,3.5,0.370075826
partial_correlation,800ROI,3.5,0.332775366
tangent,800ROI,3.5,0.297496571
partial_correlation_scaled,800ROI,3.5,0.242649664
tangent_scaled,800ROI,3.5,0.245127218
correlation,800ROI,4.5,0.407060087
partial_correlation,800ROI,4.5,0.354936826
tangent,800ROI,4.5,0.306831568
partial_correlation_scaled,800ROI,4.5,0.196538693
tangent_scaled,800ROI,4.5,0.272419157
correlation,800ROI,5,0.485456231
partial_correlation_scaled,800ROI,5,0.401125054
tangent_scaled,800ROI,5,0.316895951
correlation,800ROI,10,0.566490835
partial_correlation_scaled,800ROI,10,0.45061149
tangent_scaled,800ROI,10,0.331146774
correlation,800ROI,15,0.656358808
partial_correlation_scaled,800ROI,15,0.47357787
tangent_scaled,800ROI,15,0.336569366
correlation,800ROI,20,0.701430344
partial_correlation_scaled,800ROI,20,0.463667238
tangent_scaled,800ROI,20,0.336739644
correlation,800ROI,25,0.755214806
partial_correlation_scaled,800ROI,25,0.467639528
tangent_scaled,800ROI,25,0.347114844
correlation,800ROI,30,0.778067825
partial_correlation_scaled,800ROI,30,0.462081725
tangent_scaled,800ROI,30,0.352275163
correlation,800ROI,35,0.808042771
partial_correlation_scaled,800ROI,35,0.448228358
tangent_scaled,800ROI,35,0.35546793
correlation,800ROI,40,0.822419361
partial_correlation_scaled,800ROI,40,0.439450653
tangent_scaled,800ROI,40,0.365111626
correlation,800ROI,45,0.843091781
partial_correlation_scaled,800ROI,45,0.432443478
tangent_scaled,800ROI,45,0.373595817
correlation,800ROI,50,0.854184014
partial_correlation_scaled,800ROI,50,0.426417112
tangent_scaled,800ROI,50,0.380437531
correlation,900ROI,0.5,0.185152076
partial_correlation,900ROI,0.5,0.175039089
tangent,900ROI,0.5,0.185149193
partial_correlation_scaled,900ROI,0.5,0.159315873
tangent_scaled,900ROI,0.5,0.17492759
correlation,900ROI,1,0.229357461
partial_correlation,900ROI,1,0.215073185
tangent,900ROI,1,0.215704617
partial_correlation_scaled,900ROI,1,0.212554459
tangent_scaled,900ROI,1,0.209833331
correlation,900ROI,2.5,0.324529527
partial_correlation,900ROI,2.5,0.303592193
tangent,900ROI,2.5,0.269424362
partial_correlation_scaled,900ROI,2.5,0.249292098
tangent_scaled,900ROI,2.5,0.198246265
correlation,900ROI,3.5,0.371304925
partial_correlation,900ROI,3.5,0.334561038
tangent,900ROI,3.5,0.28586374
partial_correlation_scaled,900ROI,3.5,0.24093051
tangent_scaled,900ROI,3.5,0.25277575
correlation,900ROI,4.5,0.409294967
partial_correlation,900ROI,4.5,0.355057263
tangent,900ROI,4.5,0.310428894
partial_correlation_scaled,900ROI,4.5,0.234458445
tangent_scaled,900ROI,4.5,0.290155479
correlation,900ROI,5,0.486711813
partial_correlation_scaled,900ROI,5,0.400927504
tangent_scaled,900ROI,5,0.316363955
correlation,900ROI,10,0.567644015
partial_correlation_scaled,900ROI,10,0.439988579
tangent_scaled,900ROI,10,0.317190371
correlation,900ROI,15,0.658849964
partial_correlation_scaled,900ROI,15,0.467561432
tangent_scaled,900ROI,15,0.320956899
correlation,900ROI,20,0.704069696
partial_correlation_scaled,900ROI,20,0.464212134
tangent_scaled,900ROI,20,0.316535826
correlation,900ROI,25,0.756796271
partial_correlation_scaled,900ROI,25,0.466192305
tangent_scaled,900ROI,25,0.325304041
correlation,900ROI,30,0.779761319
partial_correlation_scaled,900ROI,30,0.454902036
tangent_scaled,900ROI,30,0.328280233
correlation,900ROI,35,0.80962626
partial_correlation_scaled,900ROI,35,0.442263711
tangent_scaled,900ROI,35,0.333774009
correlation,900ROI,40,0.824884158
partial_correlation_scaled,900ROI,40,0.434105643
tangent_scaled,900ROI,40,0.341297335
correlation,900ROI,45,0.845086037
partial_correlation_scaled,900ROI,45,0.427823192
tangent_scaled,900ROI,45,0.351038987
correlation,900ROI,50,0.8561292
partial_correlation_scaled,900ROI,50,0.417609497
tangent_scaled,900ROI,50,0.353309081
correlation,1000ROI,0.5,0.19037783
partial_correlation,1000ROI,0.5,0.175583532
tangent,1000ROI,0.5,0.184393959
partial_correlation_scaled,1000ROI,0.5,0.148022428
tangent_scaled,1000ROI,0.5,0.162878095
correlation,1000ROI,1,0.227043447
partial_correlation,1000ROI,1,0.211776104
tangent,1000ROI,1,0.216169636
partial_correlation_scaled,1000ROI,1,0.16044315
tangent_scaled,1000ROI,1,0.166865358
correlation,1000ROI,2.5,0.317770882
partial_correlation,1000ROI,2.5,0.297753419
tangent,1000ROI,2.5,0.263273872
partial_correlation_scaled,1000ROI,2.5,0.204298214
tangent_scaled,1000ROI,2.5,0.184172667
correlation,1000ROI,3.5,0.366336957
partial_correlation,1000ROI,3.5,0.326349433
tangent,1000ROI,3.5,0.286786773
partial_correlation_scaled,1000ROI,3.5,0.227286767
tangent_scaled,1000ROI,3.5,0.20931504
correlation,1000ROI,4.5,0.403012987
partial_correlation,1000ROI,4.5,0.348322519
tangent,1000ROI,4.5,0.297662875
tangent_scaled,1000ROI,4.5,0.214172667
partial_correlation_scaled,1000ROI,4.5,0.225130434
correlation,1000ROI,5,0.486886828
partial_correlation_scaled,1000ROI,5,0.397216654
tangent_scaled,1000ROI,5,0.293472587
correlation,1000ROI,10,0.568119175
partial_correlation_scaled,1000ROI,10,0.447019106
tangent_scaled,1000ROI,10,0.30772587
correlation,1000ROI,15,0.66015539
partial_correlation_scaled,1000ROI,15,0.469404854
tangent_scaled,1000ROI,15,0.30875834
correlation,1000ROI,20,0.706121025
partial_correlation_scaled,1000ROI,20,0.465367266
tangent_scaled,1000ROI,20,0.304644752
correlation,1000ROI,25,0.759122255
partial_correlation_scaled,1000ROI,25,0.467467414
tangent_scaled,1000ROI,25,0.312375205
correlation,1000ROI,30,0.782413481
partial_correlation_scaled,1000ROI,30,0.455923126
tangent_scaled,1000ROI,30,0.310235729
correlation,1000ROI,35,0.811610429
partial_correlation_scaled,1000ROI,35,0.444665406
tangent_scaled,1000ROI,35,0.316108914
correlation,1000ROI,40,0.825989265
partial_correlation_scaled,1000ROI,40,0.43382154
tangent_scaled,1000ROI,40,0.319952558
correlation,1000ROI,45,0.846325428
partial_correlation_scaled,1000ROI,45,0.424888976
tangent_scaled,1000ROI,45,0.327237051
correlation,1000ROI,50,0.85699023
partial_correlation_scaled,1000ROI,50,0.415661524
tangent_scaled,1000ROI,50,0.352345091
