Distance,Roi,Data_length (min),Mean_ICC
correlation,500ROI,0.5,0.16467203
partial_correlation,500ROI,0.5,0.165863955
tangent,500ROI,0.5,0.182214288
partial_correlation_scaled,500ROI,0.5,0.169462133
tangent_scaled,500ROI,0.5,0.162788369
correlation,500ROI,1,0.191816465
partial_correlation,500ROI,1,0.17989653
tangent,500ROI,1,0.208300441
partial_correlation_scaled,500ROI,1,0.134362219
tangent_scaled,500ROI,1,0.173814827
correlation,500ROI,2.5,0.251463026
partial_correlation,500ROI,2.5,0.201223204
tangent,500ROI,2.5,0.256114687
partial_correlation_scaled,500ROI,2.5,0.133624733
tangent_scaled,500ROI,2.5,0.228918021
correlation,500ROI,3.5,0.279672097
partial_correlation,500ROI,3.5,0.20586588
tangent,500ROI,3.5,0.272941356
partial_correlation_scaled,500ROI,3.5,0.171220841
tangent_scaled,500ROI,3.5,0.212644606
correlation,500ROI,4.5,0.306629323
partial_correlation,500ROI,4.5,0.207776227
tangent,500ROI,4.5,0.285879042
partial_correlation_scaled,500ROI,4.5,0.13864013
tangent_scaled,500ROI,4.5,0.19886165
correlation,500ROI,5,0.358380393
partial_correlation_scaled,500ROI,5,0.228755303
tangent_scaled,500ROI,5,0.294341627
correlation,500ROI,10,0.435369433
partial_correlation_scaled,500ROI,10,0.228810766
tangent_scaled,500ROI,10,0.318418639
correlation,500ROI,15,0.524163341
partial_correlation_scaled,500ROI,15,0.227828006
tangent_scaled,500ROI,15,0.341151377
correlation,500ROI,20,0.576029988
partial_correlation_scaled,500ROI,20,0.22635101
tangent_scaled,500ROI,20,0.349676929
correlation,500ROI,25,0.635830845
partial_correlation_scaled,500ROI,25,0.224979149
tangent_scaled,500ROI,25,0.361369063
correlation,500ROI,30,0.665857214
partial_correlation_scaled,500ROI,30,0.223732395
tangent_scaled,500ROI,30,0.368779011
correlation,500ROI,35,0.7007671
partial_correlation_scaled,500ROI,35,0.222226103
tangent_scaled,500ROI,35,0.377914315
correlation,500ROI,40,0.720153935
partial_correlation_scaled,500ROI,40,0.223922767
tangent_scaled,500ROI,40,0.384171253
correlation,500ROI,45,0.747108509
partial_correlation_scaled,500ROI,45,0.224495961
tangent_scaled,500ROI,45,0.392155817
correlation,500ROI,50,0.761804685
partial_correlation_scaled,500ROI,50,0.225924711
tangent_scaled,500ROI,50,0.398205737
correlation,600ROI,0.5,0.162727317
partial_correlation,600ROI,0.5,0.163668737
tangent,600ROI,0.5,0.183648303
partial_correlation_scaled,600ROI,0.5,0.148060185
tangent_scaled,600ROI,0.5,0.180932022
correlation,600ROI,1,0.188205169
partial_correlation,600ROI,1,0.177707771
tangent,600ROI,1,0.209367487
partial_correlation_scaled,600ROI,1,0.124592595
tangent_scaled,600ROI,1,0.182377873
correlation,600ROI,2.5,0.245085456
partial_correlation,600ROI,2.5,0.196659124
tangent,600ROI,2.5,0.256214806
partial_correlation_scaled,600ROI,2.5,0.145728969
tangent_scaled,600ROI,2.5,0.203917207
correlation,600ROI,3.5,0.27258285
partial_correlation,600ROI,3.5,0.20084603
tangent,600ROI,3.5,0.273333657
partial_correlation_scaled,600ROI,3.5,0.12770127
tangent_scaled,600ROI,3.5,0.227972606
correlation,600ROI,4.5,0.297305873
partial_correlation,600ROI,4.5,0.202575546
tangent,600ROI,4.5,0.285142809
partial_correlation_scaled,600ROI,4.5,0.174680635
tangent_scaled,600ROI,4.5,0.230892769
correlation,600ROI,5,0.360795214
partial_correlation_scaled,600ROI,5,0.231104186
tangent_scaled,600ROI,5,0.295689573
correlation,600ROI,10,0.437326697
partial_correlation_scaled,600ROI,10,0.229252914
tangent_scaled,600ROI,10,0.316457963
correlation,600ROI,15,0.526306439
partial_correlation_scaled,600ROI,15,0.230077578
tangent_scaled,600ROI,15,0.335500282
correlation,600ROI,20,0.578082933
partial_correlation_scaled,600ROI,20,0.226412881
tangent_scaled,600ROI,20,0.343388071
correlation,600ROI,25,0.638168254
partial_correlation_scaled,600ROI,25,0.223921495
tangent_scaled,600ROI,25,0.352237911
correlation,600ROI,30,0.668510639
partial_correlation_scaled,600ROI,30,0.22235833
tangent_scaled,600ROI,30,0.358324862
correlation,600ROI,35,0.703713195
partial_correlation_scaled,600ROI,35,0.220830953
tangent_scaled,600ROI,35,0.364924206
correlation,600ROI,40,0.722637756
partial_correlation_scaled,600ROI,40,0.219801481
tangent_scaled,600ROI,40,0.370516216
correlation,600ROI,45,0.749280104
partial_correlation_scaled,600ROI,45,0.219606082
tangent_scaled,600ROI,45,0.37682113
correlation,600ROI,50,0.763730917
partial_correlation_scaled,600ROI,50,0.220134461
tangent_scaled,600ROI,50,0.381518607
correlation,700ROI,0.5,0.158018118
partial_correlation,700ROI,0.5,0.158090736
tangent,700ROI,0.5,0.183241705
partial_correlation_scaled,700ROI,0.5,0.120968833
tangent_scaled,700ROI,0.5,0.174722773
correlation,700ROI,1,0.179162726
partial_correlation,700ROI,1,0.169758612
tangent,700ROI,1,0.208185052
partial_correlation_scaled,700ROI,1,0.135278609
tangent_scaled,700ROI,1,0.193857048
correlation,700ROI,2.5,0.226792321
partial_correlation,700ROI,2.5,0.184488546
tangent,700ROI,2.5,0.253056275
partial_correlation_scaled,700ROI,2.5,0.182822179
tangent_scaled,700ROI,2.5,0.226116022
correlation,700ROI,3.5,0.249586136
partial_correlation,700ROI,3.5,0.18748203
tangent,700ROI,3.5,0.270127606
partial_correlation_scaled,700ROI,3.5,0.228598055
