,Distance,Session,ROI,Sub_Discriminability,Sub_Identification
301,tangent,0.5,200,0.8482758620689654,0.23333333333333334
302,tangent,0.5,300,0.8793103448275862,0.43333333333333335
303,tangent,0.5,400,0.9149425287356322,0.5
304,tangent,0.5,500,0.9160919540229885,0.5
305,tangent,0.5,600,0.9367816091954021,0.5666666666666667
306,tangent,0.5,700,0.9390804597701148,0.6
307,tangent,0.5,800,0.9482758620689655,0.6
308,tangent,0.5,900,0.9505747126436782,0.6666666666666666
309,tangent,0.5,1000,0.9505747126436781,0.6
310,tangent,1.0,100,0.9574712643678162,0.7666666666666667
311,tangent,1.0,200,0.9919540229885058,0.9
312,tangent,1.0,300,0.9988505747126436,0.9666666666666667
313,tangent,1.0,400,0.9988505747126436,0.9666666666666667
314,tangent,1.0,500,1.0,1.0
315,tangent,1.0,600,1.0,1.0
316,tangent,1.0,700,1.0,1.0
317,tangent,1.0,800,1.0,1.0
318,tangent,1.0,900,1.0,1.0
319,tangent,1.0,1000,1.0,1.0
320,tangent,2.5,100,1.0,1.0
321,tangent,2.5,200,1.0,1.0
322,tangent,2.5,300,1.0,1.0
323,tangent,2.5,400,1.0,1.0
324,tangent,2.5,500,1.0,1.0
325,tangent,2.5,600,1.0,1.0
326,tangent,2.5,700,1.0,1.0
327,tangent,2.5,800,1.0,1.0
328,tangent,2.5,900,1.0,1.0
329,tangent,2.5,1000,1.0,1.0
330,tangent,3.5,100,1.0,1.0
331,tangent,3.5,200,1.0,1.0
332,tangent,3.5,300,1.0,1.0
333,tangent,3.5,400,1.0,1.0
334,tangent,3.5,500,1.0,1.0
335,tangent,3.5,600,1.0,1.0
336,tangent,3.5,700,1.0,1.0
337,tangent,3.5,800,1.0,1.0
338,tangent,3.5,900,1.0,1.0
339,tangent,3.5,1000,1.0,1.0
340,tangent,4.5,100,1.0,1.0
341,tangent,4.5,200,1.0,1.0
342,tangent,4.5,300,1.0,1.0
343,tangent,4.5,400,1.0,1.0
344,tangent,4.5,500,1.0,1.0
345,tangent,4.5,600,1.0,1.0
346,tangent,4.5,700,1.0,1.0
347,tangent,4.5,800,1.0,1.0
348,tangent,4.5,900,1.0,1.0
349,tangent,4.5,1000,1.0,1.0
350,tangent,5.0,100,1.0,1.0
351,tangent,5.0,200,1.0,1.0
352,tangent,5.0,300,1.0,1.0
353,tangent,5.0,400,1.0,1.0
354,tangent,5.0,500,1.0,1.0
355,tangent,5.0,600,1.0,1.0
356,tangent,5.0,700,1.0,1.0
357,tangent,5.0,800,1.0,1.0
358,tangent,5.0,900,1.0,1.0
359,tangent,5.0,1000,1.0,1.0
360,tangent,10.0,100,1.0,1.0
361,tangent,10.0,200,1.0,1.0
362,tangent,10.0,300,1.0,1.0
363,tangent,10.0,400,1.0,1.0
364,tangent,10.0,500,1.0,1.0
365,tangent,10.0,600,1.0,1.0
366,tangent,10.0,700,1.0,1.0
367,tangent,10.0,800,1.0,1.0
